DATE,CUUR0000SA0R
1998-11-01,61.000
1998-12-01,61.000
1999-01-01,60.800
1999-02-01,60.800
1999-03-01,60.600
1999-04-01,60.200
1999-05-01,60.200
1999-06-01,60.200
1999-07-01,60.000
1999-08-01,59.800
1999-09-01,59.600
1999-10-01,59.400
1999-11-01,59.400
1999-12-01,59.400
2000-01-01,59.200
2000-02-01,58.900
2000-03-01,58.400
2000-04-01,58.400
2000-05-01,58.300
2000-06-01,58.000
2000-07-01,57.900
2000-08-01,57.900
2000-09-01,57.600
2000-10-01,57.500
2000-11-01,57.400
2000-12-01,57.500
2001-01-01,57.100
2001-02-01,56.900
2001-03-01,56.700
2001-04-01,56.500
2001-05-01,56.300
2001-06-01,56.200
2001-07-01,56.300
2001-08-01,56.300
2001-09-01,56.100
2001-10-01,56.300
2001-11-01,56.400
2001-12-01,56.600
2002-01-01,56.500
2002-02-01,56.200
2002-03-01,55.900
2002-04-01,55.600
2002-05-01,55.600
2002-06-01,55.600
2002-07-01,55.500
2002-08-01,55.400
2002-09-01,55.300
2002-10-01,55.200
2002-11-01,55.200
2002-12-01,55.300
2003-01-01,55.000
2003-02-01,54.600
2003-03-01,54.300
2003-04-01,54.400
2003-05-01,54.500
2003-06-01,54.400
2003-07-01,54.400
2003-08-01,54.200
2003-09-01,54.000
2003-10-01,54.000
2003-11-01,54.200
2003-12-01,54.300
2004-01-01,54.000
2004-02-01,53.700
2004-03-01,53.400
2004-04-01,53.200
2004-05-01,52.900
2004-06-01,52.700
2004-07-01,52.800
2004-08-01,52.800
2004-09-01,52.700
2004-10-01,52.400
2004-11-01,52.400
2004-12-01,52.500
2005-01-01,52.400
2005-02-01,52.100
2005-03-01,51.700
2005-04-01,51.400
2005-05-01,51.400
2005-06-01,51.400
2005-07-01,51.200
2005-08-01,50.900
2005-09-01,50.300
2005-10-01,50.200
2005-11-01,50.600
2005-12-01,50.800
2006-01-01,50.400
2006-02-01,50.300
2006-03-01,50.000
2006-04-01,49.600
2006-05-01,49.400
2006-06-01,49.300
2006-07-01,49.100
2006-08-01,49.000
2006-09-01,49.300
2006-10-01,49.500
2006-11-01,49.600
2006-12-01,49.600
2007-01-01,49.400
2007-02-01,49.100
2007-03-01,48.700
2007-04-01,48.400
2007-05-01,48.100
2007-06-01,48.000
2007-07-01,48.000
2007-08-01,48.100
2007-09-01,48.000
2007-10-01,47.900
2007-11-01,47.600
2007-12-01,47.600
2008-01-01,47.400
2008-02-01,47.200
2008-03-01,46.800
2008-04-01,46.500
2008-05-01,46.200
2008-06-01,45.700
2008-07-01,45.500
2008-08-01,45.600
2008-09-01,45.700
2008-10-01,46.200
2008-11-01,47.100
2008-12-01,47.600
